state_2014,pc_name_2014,candidate_2014,party_2014,party_symbol_2014,general_votes_2014,postal_votes_2014,total_votes_2014,total_electors_2014,candidate_2019,party_2019,party_symbol_2019,general_votes_2019,postal_votes_2019,total_votes_2019,total_electors_2019,percentage_votes_2019
Maharashtra,"Mumbai South central","RAHUL RAMESH SHEWALE",SHS,"Bow & Arrow",380747,261,381008,1447886,"Rahul Ramesh Shewale",SHS,"Bow & Arrow",423743,1170,424913,1440380,53.2973
"Uttar Pradesh",Bahraich,"SADHVI SAVITRI BAI FOOLE",BJP,Lotus,432286,106,432392,1638640,"AKSHAIBAR LAL",BJP,Lotus,525512,470,525982,1729908,53.1377
"Andhra Pradesh",Nellore,"MEKAPATI RAJAMOHAN REDDY",YSRCP,"Ceiling Fan",573203,3193,576396,1606127,"Adala Prabhakara Reddy",YSRCP,"Ceiling Fan",677014,6816,683830,1672845,53.1322
Bihar,Saran,"RAJIV PRATAP RUDY",BJP,Lotus,354738,382,355120,1538740,"Rajiv Pratap Rudy",BJP,Lotus,496992,2994,499986,1667253,53.0197
"West Bengal",Uluberia,"SULTAN AHMED",AITC,"Flowers and Grass",570598,187,570785,1448632,"SAJDA AHMED",AITC,"Flowers and Grass",694617,328,694945,1614988,53.0048
Karnataka,Hassan,"H.D. DEVEGOWDA",JD(S),"A lady farmer carrying paddy on her head",509601,240,509841,1561486,"PRAJWAL REVANNA",JD(S),"A lady farmer carrying paddy on her head",675512,1094,676606,1652999,52.9611
"NCT OF Delhi","CHANDNI CHOWK                 ","DR. HARSH VARDHAN",BJP,Lotus,436380,1558,437938,1447230,"HARSH VARDHAN",BJP,Lotus,517939,1116,519055,1562283,52.9437
"Uttar Pradesh",Bareilly,"SANTOSH KUMAR GANGWAR",BJP,Lotus,517450,808,518258,1664081,"SANTOSH KUMAR GANGWAR",BJP,Lotus,563533,1737,565270,1797655,52.9110
Karnataka,"Bangalore North","D.V SADANANDA GOWDA",BJP,Lotus,717355,971,718326,2401472,"D.V. Sadananda Gowda",BJP,Lotus,821934,2566,824500,2849250,52.8709
Bihar,Vaishali,"RAMA KISHORE SINGH",LJP,Bungalow,305446,4,305450,1566321,"Veena Devi (W/o Dinesh Prasad Singh)",LJP,Bungalow,566707,1508,568215,1735983,52.8705
